Restaurant ID,Desserts,Vegetables,Salads,Chips,Water,Milk,Special Offers,rest_name,address,cuisines,url,n_review,rating_review,price_avg,price_min,price_max,postcode
19585,13,15,2,14,0,0,0,Renus,"26 Milton Road, Cambridgeshire, CB4 1JY","Indian,Bangladeshi,Halal",https://www.just-eat.co.uk/restaurants-renuscb4/menu,View 1811 reviews,5.32 stars out of 6.,7.650941828,0.69,14.95,CB4 1JY
22793,0,11,0,1,0,0,2,Raja Indian Cuisine,"60 King Street, Cambridge, CB1 1LN","Indian,Bangladeshi,Halal",https://www.just-eat.co.uk/restaurants-rajaindiancuisine-cb1/menu,View 1203 reviews,4.75 stars out of 6.,6.400819672,0.75,16.9,CB1 1LN
109676,4,13,12,15,1,0,4,Tulip Delivery,"Unit 5 Barnwell Buisness Park Barnwell Drive, Cambridge, CB5 8UX","Kebab,Lunch,Halal",https://www.just-eat.co.uk/restaurants-tulip-delivery-chesterton/menu,View 559 reviews,5.4 stars out of 6.,7.960305344,0.5,62,CB5 8UX
45505,1,9,9,23,1,0,13,Uncle Franks Takeaway Burgers & Kebabs,"Market Square, Cambridgeshire, CB2 3QJ","Kebab,Burgers",https://www.just-eat.co.uk/restaurants-unclefranks-cb2/menu,View 2457 reviews,4.45 stars out of 6.,7.52440367,0.99,30.8,CB2 3QJ
69286,35,14,0,10,1,0,5,Gourmet Burger & Fries,"178 Mill Road, Cambridge, CB1 3LP","Gourmet,American",https://www.just-eat.co.uk/restaurants-gourmet-burger-and-fries-cambridge/menu,View 2868 reviews,5.32 stars out of 6.,5.583303571,0.45,24.99,CB1 3LP
77223,11,10,4,22,0,0,15,Grill House,"166 Mill Road, Cambridge, CB1 3LP","Kebab,Pizza",https://www.just-eat.co.uk/restaurants-grill-house-cb1/menu,View 1790 reviews,4.51 stars out of 6.,7.626086957,0.5,29,CB1 3LP
154205,0,7,11,14,0,0,9,City Kebab,"73 Regent Street, Cambridge, CB2 1AB","Kebab,Pizza",https://www.just-eat.co.uk/restaurants-city-kebabnew-trumpington/menu,View 25 reviews,4.55 stars out of 6.,6.965934066,0.9,26.9,CB2 1AB
16522,14,12,0,4,0,0,6,The Pizza Company,"178-182 Mill Road, Cambridge, CB1 3LP","Pizza,Italian",https://www.just-eat.co.uk/restaurants-thepizzacompany/menu,View 2974 reviews,5.22 stars out of 6.,14.06102041,0.5,29.99,CB1 3LP
78926,7,8,5,56,1,0,0,Chicken Cottage,"83A Mill Hill Road, Cambridge, CB1 2AW","Chicken,American,Halal",https://www.just-eat.co.uk/restaurants-chickencottage-cambridge/menu,View 1098 reviews,4.59 stars out of 6.,6.43057971,0,26.99,CB1 2AW
37723,11,10,6,7,0,0,17,Zis Piri Piri,"36A Mill Road, Cambridge, CB1 2AD","Grill,Pizza,Halal",https://www.just-eat.co.uk/restaurants-zispiripiri-cb1/menu,View 1677 reviews,5.18 stars out of 6.,7.639107143,0.49,29.99,CB1 2AD
100608,3,6,10,13,1,0,0,Marmaris Charcoal Grill,"62 Cherry Hinton Road, Cambridge, CB1 7AA","Kebab,Pizza,Halal",https://www.just-eat.co.uk/restaurants-marmaris-charcoal-grillcambridge/menu,View 211 reviews,5.16 stars out of 6.,6.225233645,0.6,26.9,CB1 7AA
7001,0,17,1,2,0,0,0,Curry Queen,"106 Mill Road, Cambridge, CB1 2BD","Indian,Curry",https://www.just-eat.co.uk/restaurants-curry-queen-cambridge/menu,View 1380 reviews,4.75 stars out of 6.,6.322932331,0.6,12.95,CB1 2BD
110947,3,2,0,0,0,0,0,Mr George,"158 Mill Road, Cambridge, CB1 3LP","Alcohol,Sandwiches",https://www.just-eat.co.uk/restaurants-mr-george-cambridge/menu,View 34 reviews,4.57 stars out of 6.,5.1296875,0.69,13.99,CB1 3LP
102581,16,13,0,5,1,0,0,Cromwell's Chinese Takeaway,"29 Cromwell Road, Cambridge, CB1 3EB","Chinese,Thai",https://www.just-eat.co.uk/restaurants-cromwells-chinese-takeaway-cambridge/menu,View 574 reviews,5.27 stars out of 6.,5.99125,1.3,9.8,CB1 3EB
94574,5,7,13,18,1,0,7,Lokum,"40 Burleigh Street, Cambridge, CB1 1DJ","Kebab,Pizza,Halal",https://www.just-eat.co.uk/restaurants-lokum-new-cambridge/menu,View 248 reviews,4.31 stars out of 6.,6.531724138,1,22,CB1 1DJ
105264,8,11,41,16,0,0,3,Cambridge Grillerz,"182 Sturton Street, Cambridge, CB1 2QF","Kebab,Burgers",https://www.just-eat.co.uk/restaurants-cambridge-grillerz-cambridge/menu,View 209 reviews,5.38 stars out of 6.,5.793867925,0.6,29.95,CB1 2QF
93082,16,13,9,32,1,0,19,Rotana Cafe,"50 Mill Road, Cambridge, CB1 2AS","Arabic,Middle Eastern,Halal",https://www.just-eat.co.uk/restaurants-rotana-cafe-cambridge-CB1/menu,View 124 reviews,5.05 stars out of 6.,5.900671642,0.3,50,CB1 2AS
26821,0,17,2,3,1,0,3,Kismet Tandoori,"71 Catharine Street, Cambridge, CB1 3AW","Indian,Bangladeshi,Halal",https://www.just-eat.co.uk/restaurants-kismettandoori-cb1/menu,View 719 reviews,5.05 stars out of 6.,6.31402439,0.65,29.95,CB1 3AW
48473,5,23,9,4,0,0,0,Gattuso's Trattoria Pizzeria,"156 Hills Road, Cambridgeshire, CB2 8PB","Pizza,Italian",https://www.just-eat.co.uk/restaurants-gattusos-trattoria-pizzeria-cb2/menu,View 1305 reviews,5.1 stars out of 6.,9.970588235,3,18,CB2 8PB
77225,27,3,0,0,0,0,0,Cambridge Desserts,"166 Mill Road, Cambridge, CB1 3LP","Desserts,Cakes",https://www.just-eat.co.uk/restaurants-cambridge-desserts-cambridge/menu,View 213 reviews,3.54 stars out of 6.,3.105263158,1.4,6.9,CB1 3LP
130544,0,9,4,1,0,0,3,Moghul,"182 Sturton Street, Cambridge, CB1 2QF","Indian,Curry",https://www.just-eat.co.uk/restaurants-moghulcambridge/menu,View 73 reviews,5.51 stars out of 6.,5.820212766,0.8,16.95,CB1 2QF
116980,8,18,1,4,4,0,3,Al Pomodoro,"8 Homerton Street, Cambridge, CB2 8NX","Italian,Mediterranean",https://www.just-eat.co.uk/restaurants-al-pomodoro-trumpington/menu,View 151 reviews,5.11 stars out of 6.,8.361445783,2.5,21.5,CB2 8NX
83551,10,8,1,2,1,0,4,Pizza Hut Delivery Cambridge South,"83 Mill Road, Cambridge, CB1 2AW","Pizza,American",https://www.just-eat.co.uk/restaurants-pizzahutdelivery-cambridgesouth/menu,View 75 reviews,3.47 stars out of 6.,9.242592593,0.49,21.99,CB1 2AW
99056,3,10,26,14,1,0,0,The Grill Brothers,"529b Newmarket Road, Cambridge, CB5 8PA","Kebab,Burgers",https://www.just-eat.co.uk/restaurants-the-grill-brothers-chesterton/menu,View 1716 reviews,5.32 stars out of 6.,5.653529412,0.45,24.99,CB5 8PA
64325,10,16,0,5,0,0,7,Golden Dragon,"175 Victoria Road, Cambridge, CB4 3BU","Chinese,Noodles",https://www.just-eat.co.uk/restaurants-golden-dragon-chesterton/menu,View 2959 reviews,5 stars out of 6.,6.614233577,0.6,56,CB4 3BU
111093,2,12,14,12,0,0,1,Fulbourn Kebab Pizza,"3-5 High Street, Fulbourn, CB21 5DH","Turkish,Pizza",https://www.just-eat.co.uk/restaurants-fulbourn-kebab-pizza-curry-cambridge/menu,View 215 reviews,5.14 stars out of 6.,5.265853659,0.5,22,CB21 5DH
111168,7,18,1,1,0,0,1,Mo Malik's,"Unit 2-3 Unwin Square, Cambridge, CB4 2AD","Indian,Curry",https://www.just-eat.co.uk/restaurants-mo-maliks-chesterton/menu,View 1026 reviews,5.69 stars out of 6.,8.496256684,0.9,60,CB4 2AD
121075,5,7,5,7,0,0,17,Super Kebab House,"70 King Street, Cambridge, CB1 1LN","Kebab,Pizza,Halal",https://www.just-eat.co.uk/restaurants-super-kebab-housenew-cambridge/menu,View 167 reviews,4.88 stars out of 6.,6.778392857,0.69,25.99,CB1 1LN
115352,4,9,9,13,1,0,6,Desi Grill,"180 High Street Chesterton Cambridge, Cambridgeshire, CB4 1NS","Indian,Kebab,Halal",https://www.just-eat.co.uk/restaurants-desi-grill-1-chesterton/menu,View 145 reviews,5.17 stars out of 6.,5.687898551,0.6,16.95,CB4 1NS
121021,29,11,4,11,1,1,3,McDonald'sÂ® - Cambridge,"9 Rose Crescent, Cambridge, CB2 3LL","Burgers,Chicken",https://www.just-eat.co.uk/restaurants-mcdonalds-cambridge/menu,View 987 reviews,4.6 stars out of 6.,2.680872483,0.2,6.79,CB2 3LL
82349,0,14,1,3,0,0,0,Rajbelash,"36-38 Hills Road, Cambridge, CB2 1LA","Indian,Bangladeshi,Halal",https://www.just-eat.co.uk/restaurants-rajbelash-trumpington/menu,View 144 reviews,4.96 stars out of 6.,7.239912281,0.9,15,CB2 1LA
